Feature,Stability_Count
Average_duration_of_Visit_mean_medical,50
Average_duration_of_Visit_std_medical,50
Average_duration_of_Visit_max_medical,50
Minimum_duration_of_Visit_mean_medical,50
Minimum_duration_of_Visit_std_medical,50
Minimum_duration_of_Visit_max_medical,50
Maximum_duration_of_Visit_mean_medical,50
Maximum_duration_of_Visit_std_medical,50
Maximum_duration_of_Visit_max_medical,50
Duration_of_first_Visit_mean_medical,50
Duration_of_first_Visit_std_medical,50
Duration_of_first_Visit_max_medical,50
First-pass_duration_max_medical,50
Selective_regression-path_duration_mean_medical,50
Selective_regression-path_duration_std_medical,50
Selective_regression-path_duration_max_medical,50
Average_duration_of_Visit_mean_content,50
Average_duration_of_Visit_std_content,50
Average_duration_of_Visit_max_content,50
Minimum_duration_of_Visit_mean_content,50
Minimum_duration_of_Visit_std_content,50
Minimum_duration_of_Visit_max_content,50
Maximum_duration_of_Visit_mean_content,50
Maximum_duration_of_Visit_std_content,50
Maximum_duration_of_Visit_max_content,50
Duration_of_first_Visit_mean_content,50
Duration_of_first_Visit_std_content,50
Duration_of_first_Visit_max_content,50
First-pass_duration_max_content,50
Selective_regression-path_duration_mean_content,50
Selective_regression-path_duration_std_content,50
Selective_regression-path_duration_max_content,50
Average_whole-fixation_eye_openness_mean_content,48
Average_whole-fixation_eye_openness_std_content,48
First-pass_first_fixation_duration_std_medical,47
Average_whole-fixation_eye_openness_std_medical,46
First-pass_first_fixation_duration_mean_medical,45
Average_whole-fixation_eye_openness_max_content,40
Duration_of_first_whole_fixation_std_medical,32
Average_whole-fixation_eye_openness_mean_medical,27
Time_to_first_Visit_std_content,25
Time_to_first_Visit_max_medical,5
First-pass_duration_std_medical,5
First-pass_regression_mean_medical,4
Average_whole-fixation_eye_openness_max_medical,4
Total_duration_of_Visit_max_content,4
Number_of_Visits_max_content,3
First-pass_duration_std_content,3
Time_to_first_Visit_mean_content,3
First-pass_duration_mean_medical,3
Time_to_first_Visit_max_content,2
Time_to_first_Visit_mean_medical,2
Total_duration_of_Visit_max_medical,1
Total_duration_of_Visit_mean_content,1
Total_duration_of_Visit_std_content,1
Time_to_first_Visit_std_medical,1
