Feature,Stability_Count
Maximum_duration_of_fixations_std_medical,50
Duration_of_first_fixation_mean_medical,50
Duration_of_first_fixation_std_medical,50
Maximum_duration_of_whole_fixations_std_medical,50
Duration_of_first_whole_fixation_mean_medical,50
Duration_of_first_whole_fixation_std_medical,50
Average_duration_of_Visit_mean_medical,50
Average_duration_of_Visit_std_medical,50
Average_duration_of_Visit_max_medical,50
Minimum_duration_of_Visit_mean_medical,50
Minimum_duration_of_Visit_std_medical,50
Minimum_duration_of_Visit_max_medical,50
Maximum_duration_of_Visit_mean_medical,50
Maximum_duration_of_Visit_std_medical,50
Maximum_duration_of_Visit_max_medical,50
Time_to_first_Visit_mean_medical,50
Time_to_first_Visit_std_medical,50
Time_to_first_Visit_max_medical,50
Duration_of_first_Visit_mean_medical,50
Duration_of_first_Visit_std_medical,50
Duration_of_first_Visit_max_medical,50
First-pass_first_fixation_duration_mean_medical,50
First-pass_first_fixation_duration_std_medical,50
First-pass_duration_mean_medical,50
First-pass_duration_std_medical,50
First-pass_duration_max_medical,50
Selective_regression-path_duration_mean_medical,50
Selective_regression-path_duration_std_medical,50
Selective_regression-path_duration_max_medical,50
Average_whole-fixation_eye_openness_mean_medical,50
Average_whole-fixation_eye_openness_std_medical,50
Average_whole-fixation_eye_openness_max_medical,50
Maximum_duration_of_fixations_std_content,50
Maximum_duration_of_whole_fixations_std_content,50
Total_duration_of_Visit_mean_content,50
Total_duration_of_Visit_std_content,50
Total_duration_of_Visit_max_content,50
Average_duration_of_Visit_mean_content,50
Average_duration_of_Visit_std_content,50
Average_duration_of_Visit_max_content,50
Minimum_duration_of_Visit_mean_content,50
Minimum_duration_of_Visit_std_content,50
Minimum_duration_of_Visit_max_content,50
Maximum_duration_of_Visit_mean_content,50
Maximum_duration_of_Visit_std_content,50
Maximum_duration_of_Visit_max_content,50
Number_of_Visits_max_content,50
Time_to_first_Visit_mean_content,50
Time_to_first_Visit_std_content,50
Time_to_first_Visit_max_content,50
Duration_of_first_Visit_mean_content,50
Duration_of_first_Visit_std_content,50
Duration_of_first_Visit_max_content,50
First-pass_duration_std_content,50
First-pass_duration_max_content,50
Selective_regression-path_duration_mean_content,50
Selective_regression-path_duration_std_content,50
Selective_regression-path_duration_max_content,50
Average_whole-fixation_eye_openness_mean_content,50
Average_whole-fixation_eye_openness_std_content,50
Average_whole-fixation_eye_openness_max_content,50
First-pass_regression_mean_medical,49
First-pass_first_fixation_duration_max_content,49
Average_duration_of_whole_fixations_mean_medical,48
Total_duration_of_Visit_std_medical,48
Total_duration_of_Visit_max_medical,48
First-pass_first_fixation_duration_max_medical,47
First-pass_regression_std_medical,47
Total_duration_of_Visit_mean_medical,46
First-pass_duration_mean_content,46
Average_duration_of_fixations_mean_medical,44
Duration_of_first_whole_fixation_max_medical,43
Number_of_Visits_mean_content,41
Time_to_first_Visit_min_medical,39
Time_to_first_fixation_min_medical,37
Duration_of_first_fixation_max_medical,37
Maximum_duration_of_whole_fixations_mean_medical,32
First-pass_first_fixation_duration_mean_content,28
First-pass_regression_mean_content,28
Maximum_duration_of_fixations_mean_medical,26
Minimum_duration_of_fixations_min_content,23
First-pass_regression_std_content,12
Maximum_duration_of_whole_fixations_max_medical,12
Time_to_entry_saccade_min_content,12
Peak_velocity_of_entry_saccade_min_medical,12
Maximum_duration_of_fixations_max_medical,11
Average_duration_of_whole_fixations_std_medical,10
Average_whole-fixation_pupil_diameter_max_medical,10
First-pass_first_fixation_duration_std_content,9
Average_pupil_diameter_max_medical,7
Number_of_Visits_max_medical,6
Average_pupil_diameter_min_medical,5
Duration_of_first_whole_fixation_mean_content,5
Time_to_exit_saccade_min_content,4
Duration_of_first_fixation_mean_content,4
Average_duration_of_whole_fixations_mean_content,3
Average_whole-fixation_pupil_diameter_min_medical,2
Maximum_duration_of_fixations_max_content,2
Maximum_duration_of_whole_fixations_max_content,2
Total_duration_of_fixations_max_content,2
Total_duration_of_whole_fixations_max_content,2
Average_pupil_diameter_min_content,1
Minimum_duration_of_fixations_max_medical,1
Average_whole-fixation_pupil_diameter_mean_medical,1
Total_duration_of_fixations_max_medical,1
Total_duration_of_whole_fixations_max_medical,1
Number_of_Visits_mean_medical,1
Number_of_Visits_std_content,1
Peak_velocity_of_entry_saccade_min_content,1
Maximum_duration_of_whole_fixations_mean_content,1
Average_duration_of_fixations_std_medical,1
Duration_of_first_whole_fixation_std_content,1
Minimum_duration_of_whole_fixations_mean_medical,1
