Feature,Stability_Count
Average_duration_of_fixations_max_non_medical,50
Minimum_duration_of_fixations_max_non_medical,50
Maximum_duration_of_fixations_mean_non_medical,50
Maximum_duration_of_fixations_std_non_medical,50
Maximum_duration_of_fixations_max_non_medical,50
Average_duration_of_whole_fixations_min_non_medical,50
Average_duration_of_whole_fixations_max_non_medical,50
Minimum_duration_of_whole_fixations_max_non_medical,50
Maximum_duration_of_whole_fixations_mean_non_medical,50
Maximum_duration_of_whole_fixations_std_non_medical,50
Maximum_duration_of_whole_fixations_max_non_medical,50
Total_duration_of_Visit_mean_non_medical,50
Total_duration_of_Visit_std_non_medical,50
Total_duration_of_Visit_max_non_medical,50
Average_duration_of_Visit_mean_non_medical,50
Average_duration_of_Visit_std_non_medical,50
Average_duration_of_Visit_max_non_medical,50
Minimum_duration_of_Visit_mean_non_medical,50
Minimum_duration_of_Visit_std_non_medical,50
Minimum_duration_of_Visit_max_non_medical,50
Maximum_duration_of_Visit_mean_non_medical,50
Maximum_duration_of_Visit_std_non_medical,50
Maximum_duration_of_Visit_max_non_medical,50
Time_to_first_Visit_mean_non_medical,50
Time_to_first_Visit_std_non_medical,50
Time_to_first_Visit_max_non_medical,50
Duration_of_first_Visit_mean_non_medical,50
Duration_of_first_Visit_std_non_medical,50
Duration_of_first_Visit_max_non_medical,50
Time_to_entry_saccade_min_non_medical,50
Time_to_exit_saccade_min_non_medical,50
Peak_velocity_of_entry_saccade_min_non_medical,50
First-pass_first_fixation_duration_std_non_medical,50
First-pass_first_fixation_duration_max_non_medical,50
First-pass_duration_std_non_medical,50
First-pass_duration_max_non_medical,50
Selective_regression-path_duration_mean_non_medical,50
Selective_regression-path_duration_std_non_medical,50
Selective_regression-path_duration_max_non_medical,50
First-pass_regression_mean_non_medical,50
Average_whole-fixation_eye_openness_mean_non_medical,50
Average_whole-fixation_eye_openness_std_non_medical,50
Average_whole-fixation_eye_openness_max_non_medical,50
First-pass_duration_mean_non_medical,48
First-pass_regression_std_non_medical,47
Minimum_duration_of_whole_fixations_min_non_medical,45
tag.id_max_non_medical,45
First-pass_first_fixation_duration_mean_non_medical,44
Time_to_first_Visit_min_non_medical,43
Time_to_first_fixation_min_non_medical,42
Duration_of_first_whole_fixation_mean_non_medical,42
Duration_of_first_fixation_mean_non_medical,38
Total_duration_of_whole_fixations_std_non_medical,37
Average_duration_of_whole_fixations_mean_non_medical,37
Total_duration_of_fixations_std_non_medical,36
Average_pupil_diameter_mean_non_medical,31
Time_to_first_fixation_std_non_medical,30
Average_duration_of_fixations_mean_non_medical,29
Average_whole-fixation_pupil_diameter_mean_non_medical,28
word_frequency_screen_min_non_medical,23
word_id_screen_max_non_medical,20
total_word_count_screen_max_non_medical,20
Time_to_first_whole_fixation_std_non_medical,19
Time_to_first_fixation_max_non_medical,18
Total_duration_of_fixations_max_non_medical,15
Total_duration_of_whole_fixations_max_non_medical,14
Average_pupil_diameter_min_non_medical,11
Duration_of_first_whole_fixation_std_non_medical,11
Average_whole-fixation_pupil_diameter_min_non_medical,11
Maximum_duration_of_Visit_min_non_medical,9
Time_to_first_whole_fixation_mean_non_medical,6
Time_to_exit_saccade_std_non_medical,5
Time_to_first_fixation_mean_non_medical,5
Duration_of_first_fixation_std_non_medical,4
total_lemma_count_screen_max_non_medical,4
Average_duration_of_Visit_min_non_medical,4
Minimum_duration_of_whole_fixations_mean_non_medical,4
Time_to_first_whole_fixation_max_non_medical,4
total_lemma_count_text_min_non_medical,3
Time_to_entry_saccade_std_non_medical,3
Time_to_entry_saccade_max_non_medical,3
Minimum_duration_of_fixations_mean_non_medical,2
Maximum_duration_of_fixations_min_non_medical,1
Regression-path_duration_mean_non_medical,1
Regression-path_duration_std_non_medical,1
tag.id_min_non_medical,1
Time_to_exit_saccade_mean_non_medical,1
Average_duration_of_fixations_std_non_medical,1
Average_duration_of_whole_fixations_std_non_medical,1
Duration_of_first_fixation_max_non_medical,1
Duration_of_first_whole_fixation_max_non_medical,1
id.phrase.in.brackets_min_non_medical,1
