Feature,Stability_Count
Average_duration_of_fixations_max_non_medical,50
Maximum_duration_of_fixations_std_non_medical,50
Maximum_duration_of_fixations_max_non_medical,50
Average_duration_of_whole_fixations_min_non_medical,50
Average_duration_of_whole_fixations_max_non_medical,50
Maximum_duration_of_whole_fixations_std_non_medical,50
Maximum_duration_of_whole_fixations_max_non_medical,50
Total_duration_of_Visit_mean_non_medical,50
Total_duration_of_Visit_std_non_medical,50
Total_duration_of_Visit_max_non_medical,50
Average_duration_of_Visit_mean_non_medical,50
Average_duration_of_Visit_std_non_medical,50
Average_duration_of_Visit_max_non_medical,50
Minimum_duration_of_Visit_mean_non_medical,50
Minimum_duration_of_Visit_std_non_medical,50
Minimum_duration_of_Visit_max_non_medical,50
Maximum_duration_of_Visit_mean_non_medical,50
Maximum_duration_of_Visit_std_non_medical,50
Maximum_duration_of_Visit_max_non_medical,50
Time_to_first_Visit_mean_non_medical,50
Time_to_first_Visit_std_non_medical,50
Time_to_first_Visit_max_non_medical,50
Duration_of_first_Visit_mean_non_medical,50
Duration_of_first_Visit_std_non_medical,50
Duration_of_first_Visit_max_non_medical,50
Peak_velocity_of_entry_saccade_min_non_medical,50
First-pass_first_fixation_duration_max_non_medical,50
First-pass_duration_std_non_medical,50
First-pass_duration_max_non_medical,50
Selective_regression-path_duration_mean_non_medical,50
Selective_regression-path_duration_std_non_medical,50
Selective_regression-path_duration_max_non_medical,50
Average_whole-fixation_eye_openness_mean_non_medical,50
Average_whole-fixation_eye_openness_std_non_medical,50
Average_whole-fixation_eye_openness_max_non_medical,50
Minimum_duration_of_whole_fixations_max_non_medical,49
Time_to_entry_saccade_min_non_medical,49
Time_to_exit_saccade_min_non_medical,48
First-pass_regression_mean_non_medical,47
Minimum_duration_of_fixations_max_non_medical,34
First-pass_regression_std_non_medical,6
First-pass_first_fixation_duration_std_non_medical,5
Minimum_duration_of_whole_fixations_min_non_medical,2
First-pass_duration_mean_non_medical,2
Average_whole-fixation_pupil_diameter_min_non_medical,1
word_frequency_screen_min_non_medical,1
Average_pupil_diameter_mean_non_medical,1
Total_duration_of_fixations_std_non_medical,1
Total_duration_of_fixations_max_non_medical,1
Total_duration_of_whole_fixations_max_non_medical,1
Time_to_first_fixation_std_non_medical,1
First-pass_first_fixation_duration_mean_non_medical,1
