Feature,Stability_Count
Maximum_duration_of_fixations_mean_non_medical,50
Maximum_duration_of_fixations_std_non_medical,50
Maximum_duration_of_fixations_min_non_medical,50
Maximum_duration_of_fixations_max_non_medical,50
Number_of_fixations_mean_non_medical,50
Number_of_fixations_std_non_medical,50
Number_of_fixations_max_non_medical,50
Time_to_first_fixation_mean_non_medical,50
Time_to_first_fixation_std_non_medical,50
Time_to_first_fixation_min_non_medical,50
Time_to_first_fixation_max_non_medical,50
Duration_of_first_fixation_mean_non_medical,50
Duration_of_first_fixation_std_non_medical,50
Duration_of_first_fixation_min_non_medical,50
Duration_of_first_fixation_max_non_medical,50
Average_pupil_diameter_mean_non_medical,50
Average_pupil_diameter_std_non_medical,50
Average_pupil_diameter_min_non_medical,50
Average_pupil_diameter_max_non_medical,50
Total_duration_of_whole_fixations_mean_non_medical,50
Total_duration_of_whole_fixations_std_non_medical,50
Total_duration_of_whole_fixations_max_non_medical,50
Average_duration_of_whole_fixations_mean_non_medical,50
Average_duration_of_whole_fixations_std_non_medical,50
Average_duration_of_whole_fixations_min_non_medical,50
Average_duration_of_whole_fixations_max_non_medical,50
Minimum_duration_of_whole_fixations_mean_non_medical,50
Minimum_duration_of_whole_fixations_std_non_medical,50
Minimum_duration_of_whole_fixations_min_non_medical,50
Minimum_duration_of_whole_fixations_max_non_medical,50
Maximum_duration_of_whole_fixations_mean_non_medical,50
Maximum_duration_of_whole_fixations_std_non_medical,50
Maximum_duration_of_whole_fixations_min_non_medical,50
Maximum_duration_of_whole_fixations_max_non_medical,50
Number_of_whole_fixations_mean_non_medical,50
Number_of_whole_fixations_std_non_medical,50
Number_of_whole_fixations_max_non_medical,50
Time_to_first_whole_fixation_mean_non_medical,50
Time_to_first_whole_fixation_std_non_medical,50
Time_to_first_whole_fixation_min_non_medical,50
Duration_of_first_whole_fixation_mean_non_medical,50
Duration_of_first_whole_fixation_std_non_medical,50
Duration_of_first_whole_fixation_min_non_medical,50
Duration_of_first_whole_fixation_max_non_medical,50
Average_whole-fixation_pupil_diameter_mean_non_medical,50
Average_whole-fixation_pupil_diameter_std_non_medical,50
Average_whole-fixation_pupil_diameter_max_non_medical,50
Total_duration_of_Visit_mean_non_medical,50
Total_duration_of_Visit_std_non_medical,50
Total_duration_of_Visit_max_non_medical,50
Average_duration_of_Visit_std_non_medical,50
Selective_regression-path_duration_max_non_medical,50
total_word_count_screen_min_non_medical,50
total_word_count_screen_max_non_medical,50
total_word_count_text_mean_non_medical,50
total_word_count_text_std_non_medical,50
total_word_count_text_min_non_medical,50
total_word_count_text_max_non_medical,50
word_frequency_screen_mean_non_medical,50
word_frequency_screen_std_non_medical,50
word_frequency_screen_min_non_medical,50
word_frequency_screen_max_non_medical,50
word_frequency_text_mean_non_medical,50
word_frequency_text_std_non_medical,50
word_frequency_text_min_non_medical,50
word_frequency_text_max_non_medical,50
total_lemma_count_screen_mean_non_medical,50
total_lemma_count_screen_std_non_medical,50
total_lemma_count_screen_min_non_medical,50
total_lemma_count_screen_max_non_medical,50
total_lemma_count_text_mean_non_medical,50
total_lemma_count_text_std_non_medical,50
total_lemma_count_text_min_non_medical,50
total_lemma_count_text_max_non_medical,50
Average_whole-fixation_pupil_diameter_min_non_medical,49
Average_duration_of_Visit_mean_non_medical,49
Time_to_entry_saccade_min_non_medical,49
Time_to_first_whole_fixation_max_non_medical,48
Minimum_duration_of_fixations_max_non_medical,44
First-pass_duration_std_non_medical,44
Average_duration_of_Visit_min_non_medical,8
total_word_count_screen_std_non_medical,3
Peak_velocity_of_exit_saccade_mean_non_medical,2
First-pass_first_fixation_duration_std_non_medical,1
word_count_text_max_non_medical,1
Time_to_exit_saccade_min_non_medical,1
Minimum_duration_of_fixations_min_non_medical,1
