Feature,Stability_Count
Total_duration_of_fixations_std_non_medical,50
Average_duration_of_fixations_mean_non_medical,50
Average_duration_of_fixations_max_non_medical,50
Minimum_duration_of_fixations_max_non_medical,50
Maximum_duration_of_fixations_mean_non_medical,50
Maximum_duration_of_fixations_std_non_medical,50
Maximum_duration_of_fixations_max_non_medical,50
Time_to_first_fixation_std_non_medical,50
Duration_of_first_fixation_mean_non_medical,50
Total_duration_of_whole_fixations_std_non_medical,50
Average_duration_of_whole_fixations_mean_non_medical,50
Average_duration_of_whole_fixations_min_non_medical,50
Average_duration_of_whole_fixations_max_non_medical,50
Minimum_duration_of_whole_fixations_max_non_medical,50
Maximum_duration_of_whole_fixations_mean_non_medical,50
Maximum_duration_of_whole_fixations_std_non_medical,50
Maximum_duration_of_whole_fixations_max_non_medical,50
Duration_of_first_whole_fixation_mean_non_medical,50
Total_duration_of_Visit_mean_non_medical,50
Total_duration_of_Visit_std_non_medical,50
Total_duration_of_Visit_max_non_medical,50
Average_duration_of_Visit_mean_non_medical,50
Average_duration_of_Visit_std_non_medical,50
Average_duration_of_Visit_max_non_medical,50
Minimum_duration_of_Visit_mean_non_medical,50
Minimum_duration_of_Visit_std_non_medical,50
Minimum_duration_of_Visit_max_non_medical,50
Maximum_duration_of_Visit_mean_non_medical,50
Maximum_duration_of_Visit_std_non_medical,50
Maximum_duration_of_Visit_max_non_medical,50
Time_to_first_Visit_mean_non_medical,50
Time_to_first_Visit_std_non_medical,50
Time_to_first_Visit_max_non_medical,50
Duration_of_first_Visit_mean_non_medical,50
Duration_of_first_Visit_std_non_medical,50
Duration_of_first_Visit_max_non_medical,50
Time_to_entry_saccade_min_non_medical,50
Time_to_exit_saccade_min_non_medical,50
Peak_velocity_of_entry_saccade_min_non_medical,50
First-pass_first_fixation_duration_std_non_medical,50
First-pass_first_fixation_duration_max_non_medical,50
First-pass_duration_mean_non_medical,50
First-pass_duration_std_non_medical,50
First-pass_duration_max_non_medical,50
Selective_regression-path_duration_mean_non_medical,50
Selective_regression-path_duration_std_non_medical,50
Selective_regression-path_duration_max_non_medical,50
First-pass_regression_mean_non_medical,50
Average_whole-fixation_eye_openness_mean_non_medical,50
Average_whole-fixation_eye_openness_std_non_medical,50
Average_whole-fixation_eye_openness_max_non_medical,50
Time_to_first_fixation_min_non_medical,49
Time_to_first_whole_fixation_mean_non_medical,49
Time_to_first_whole_fixation_std_non_medical,49
Time_to_first_Visit_min_non_medical,49
First-pass_first_fixation_duration_mean_non_medical,49
First-pass_regression_std_non_medical,49
tag.id_max_non_medical,49
word_frequency_screen_min_non_medical,49
Average_pupil_diameter_mean_non_medical,48
Minimum_duration_of_whole_fixations_min_non_medical,48
Time_to_first_fixation_mean_non_medical,47
total_word_count_screen_max_non_medical,47
Average_whole-fixation_pupil_diameter_mean_non_medical,46
Time_to_exit_saccade_std_non_medical,46
Time_to_first_fixation_max_non_medical,45
Duration_of_first_whole_fixation_std_non_medical,45
Total_duration_of_fixations_max_non_medical,44
Total_duration_of_whole_fixations_max_non_medical,44
Average_whole-fixation_pupil_diameter_min_non_medical,44
Time_to_entry_saccade_std_non_medical,44
word_id_screen_max_non_medical,44
Average_pupil_diameter_min_non_medical,40
Duration_of_first_fixation_std_non_medical,39
Time_to_first_whole_fixation_max_non_medical,37
Regression-path_duration_mean_non_medical,34
Maximum_duration_of_Visit_min_non_medical,29
Time_to_entry_saccade_max_non_medical,26
Average_duration_of_whole_fixations_std_non_medical,26
tag.id_min_non_medical,25
Average_duration_of_Visit_min_non_medical,23
Total_duration_of_fixations_mean_non_medical,22
Time_to_exit_saccade_mean_non_medical,21
Total_duration_of_whole_fixations_mean_non_medical,20
total_lemma_count_screen_max_non_medical,18
Minimum_duration_of_whole_fixations_mean_non_medical,18
total_lemma_count_text_min_non_medical,17
Minimum_duration_of_fixations_mean_non_medical,13
Time_to_entry_saccade_mean_non_medical,10
Average_duration_of_fixations_std_non_medical,6
total_word_count_text_min_non_medical,6
Time_to_exit_saccade_max_non_medical,6
Maximum_duration_of_fixations_min_non_medical,4
Time_to_first_whole_fixation_min_non_medical,3
id.phrase.in.brackets_min_non_medical,3
total_word_count_screen_min_non_medical,3
Duration_of_first_fixation_max_non_medical,2
Duration_of_first_whole_fixation_max_non_medical,2
Regression-path_duration_std_non_medical,2
Maximum_duration_of_whole_fixations_min_non_medical,2
Number_of_Visits_mean_non_medical,2
left_dependents_std_non_medical,1
word_count_text_std_non_medical,1
total_word_count_screen_std_non_medical,1
Average_duration_of_fixations_min_non_medical,1
Regression-path_duration_max_non_medical,1
Minimum_duration_of_whole_fixations_std_non_medical,1
Duration_of_first_whole_fixation_min_non_medical,1
